nome_famiglia	contrast_type	specie_con_valore_alto	specie_con_valore_basso	valore_specie_con_valore_alto	valore_specie_con_valore_basso	nu
Cercopithecidae	CONTROL	Papio_anubis	Cercopithecus_neglectus	16.65	5.74	0.831895357198594
Cercopithecidae	CONTROL	Theropithecus_gelada	Cercopithecus_diana	15.35	4.5	0.830928051677076
Cercopithecidae	CONTROL	Theropithecus_gelada	Macaca_mulatta	15.35	5.96	0.830837980979932
Cercopithecidae	CONTROL	Papio_papio	Macaca_leonina	17.5	6.7	0.830711825046503
Cercopithecidae	CONTROL	Macaca_thibetana	Cercopithecus_diana	15.55	4.5	0.830362664829057
Cercopithecidae	CONTROL	Macaca_tonkeana	Miopithecus_ogouensis	11.95	1.25	0.830088401613672
Cercopithecidae	CONTROL	Macaca_thibetana	Cercopithecus_lowei	15.55	3.9	0.829872275884338
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Cercopithecus_cephus	17	3.48	0.828785674561739
Cercopithecidae	CONTROL	Papio_ursinus	Trachypithecus_francoisi	22.3	7.52	0.828492921399151
Cercopithecidae	CONTROL	Nasalis_larvatus	Cercopithecus_ascanius	15.75	3.24	0.828325153772028
Cercopithecidae	CONTROL	Papio_anubis	Cercopithecus_mitis	16.65	4.89	0.828148355211824
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Semnopithecus_vetulus	20.375	7.03	0.827754469779585
Cercopithecidae	CONTROL	Mandrillus_sphinx	Pygathrix_nigripes	23.6	9.88	0.827664083926002
Cercopithecidae	CONTROL	Papio_anubis	Macaca_siberu	16.65	6.165	0.827176990557754
Cercopithecidae	CONTROL	Macaca_thibetana	Allochrocebus_preussi	15.55	4.525	0.826790401489799
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Presbytis_comata	20.375	6.7	0.825910156756712
Cercopithecidae	CONTROL	Mandrillus_sphinx	Pygathrix_nemaeus	23.6	9.72	0.825805395244455
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Trachypithecus_cristatus	20.375	6.25	0.82489590170036
Cercopithecidae	CONTROL	Theropithecus_gelada	Allochrocebus_preussi	15.35	4.525	0.824616939372213
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Trachypithecus_francoisi	17	7.52	0.824410903908044
Cercopithecidae	CONTROL	Semnopithecus_hypoleucos	Semnopithecus_vetulus	13.1	7.03	0.824217068828072
Cercopithecidae	CONTROL	Nasalis_larvatus	Cercopithecus_cephus	15.75	3.48	0.823813319260073
Cercopithecidae	CONTROL	Papio_anubis	Allochrocebus_lhoesti	16.65	5.5	0.823432382900248
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Cercopithecus_ascanius	17	3.24	0.823266898866533
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercocebus_lunulatus	17.05	7.28	0.821787774571534
Cercopithecidae	CONTROL	Theropithecus_gelada	Cercopithecus_neglectus	15.35	5.74	0.82076790450842
Cercopithecidae	CONTROL	Papio_cynocephalus	Macaca_leonina	17.05	6.7	0.819496534499184
Cercopithecidae	CONTROL	Nasalis_larvatus	Cercopithecus_pogonias	15.75	3.58	0.818487789126673
Cercopithecidae	CONTROL	Nasalis_larvatus	Presbytis_mitrata	15.75	5.8	0.817737846497972
Cercopithecidae	CONTROL	Papio_ursinus	Colobus_angolensis	22.3	8.6	0.817457409287263
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Trachypithecus_crepusculus	20.375	6.65	0.816044584418817
Cercopithecidae	CONTROL	Mandrillus_sphinx	Pygathrix_cinerea	23.6	9.98	0.815978367673023
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Piliocolobus_kirkii	20.375	6.9	0.815640874628048
Cercopithecidae	CONTROL	Papio_ursinus	Macaca_tonkeana	22.3	11.95	0.814705298308836
Cercopithecidae	CONTROL	Theropithecus_gelada	Macaca_siberu	15.35	6.165	0.813516331237171
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Cercopithecus_petaurista	17	3.65	0.813254400919837
Cercopithecidae	CONTROL	Theropithecus_gelada	Cercopithecus_roloway	15.35	4.55	0.812862863411196
Cercopithecidae	CONTROL	Papio_ursinus	Trachypithecus_leucocephalus	22.3	8.285	0.81220355174188
Cercopithecidae	CONTROL	Papio_papio	Macaca_silenus	17.5	7.5	0.811737217805825
Cercopithecidae	CONTROL	Nasalis_larvatus	Cercopithecus_petaurista	15.75	3.65	0.81141455861249
Cercopithecidae	CONTROL	Papio_papio	Allochrocebus_solatus	17.5	6.35	0.811340726888068
Cercopithecidae	CONTROL	Papio_anubis	Cercocebus_lunulatus	16.65	7.28	0.811221111504372
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Trachypithecus_obscurus	20.375	6.99	0.810701864881722
Cercopithecidae	CONTROL	Nasalis_larvatus	Trachypithecus_cristatus	15.75	6.25	0.810249763281623
Cercopithecidae	CONTROL	Nasalis_larvatus	Cercopithecus_lowei	15.75	3.9	0.80957156749824
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Cercopithecus_pogonias	17	3.58	0.808810001000288
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Piliocolobus_gordonorum	20.375	7.05	0.808074933777502
Cercopithecidae	CONTROL	Macaca_thibetana	Cercopithecus_roloway	15.55	4.55	0.80793911901682
Cercopithecidae	CONTROL	Papio_anubis	Cercocebus_torquatus	16.65	7.5	0.807527263704502
