Trait	Species1	Species2	PatristicDistance	AbsDiff	AbsDiff_z	Nu	eNu
BodyMass_kg	Allenopithecus_nigroviridis	Plecturocebus_cupreus	25.65295	4.23	0.421581008466874	0.226983966750348	0.23
BodyMass_kg	Allenopithecus_nigroviridis	Plecturocebus_hoffmansi	25.059814	4.24	0.422577653876961	0.239641050197098	0.249
BodyMass_kg	Allenopithecus_nigroviridis	Plecturocebus_miltoni	25.16654	3.96	0.39467158239452	0.209360900718012	0.206
BodyMass_kg	Allenopithecus_nigroviridis	Plecturocebus_moloch	25.635409	4.31	0.429554171747571	0.234674294003929	0.243
BodyMass_kg	Allenopithecus_nigroviridis	Pongo_abelii	17.262326	51.45	5.1277406348985	1	1
BodyMass_kg	Allenopithecus_nigroviridis	Pongo_pygmaeus	17.262326	51.85	5.16760645130199	1	1
BodyMass_kg	Allenopithecus_nigroviridis	Presbytis_comata	10.925646	1.4	0.139530357412204	0.122582023351094	0.126
BodyMass_kg	Allenopithecus_nigroviridis	Presbytis_mitrata	10.925646	0.5	0.0498322705043586	0.0425386643872139	0.044
BodyMass_kg	Allenopithecus_nigroviridis	Prolemur_simus	32.038858	3.32	0.330886276148941	0.14193333195464	0.142
BodyMass_kg	Allenopithecus_nigroviridis	Propithecus_coquereli	34.942664	1.515	0.150991779628207	0.0654332789063313	0.068
BodyMass_kg	Allenopithecus_nigroviridis	Propithecus_coronatus	33.5712	1.4	0.139530357412204	0.0634021977840108	0.067
BodyMass_kg	Allenopithecus_nigroviridis	Propithecus_diadema	34.264015	0.805000000000001	0.0802299555120174	0.0381341362392003	0.05
BodyMass_kg	Allenopithecus_nigroviridis	Propithecus_edwardsi	34.075481	0.44	0.0438523980438356	0.0209904116777885	0.017
BodyMass_kg	Allenopithecus_nigroviridis	Propithecus_perrieri	34.264015	0.89	0.0887014414977583	0.0409935510544351	0.033
BodyMass_kg	Allenopithecus_nigroviridis	Propithecus_tattersalli	33.678602	1.8	0.179396173815691	0.083471433948688	0.088
BodyMass_kg	Allenopithecus_nigroviridis	Propithecus_verreauxi	34.942664	2.39	0.238198253010834	0.108812489464926	0.112
BodyMass_kg	Allenopithecus_nigroviridis	Pygathrix_cinerea	11.168461	4.68	0.466430051920797	0.371678922078443	0.382
BodyMass_kg	Allenopithecus_nigroviridis	Pygathrix_nemaeus	11.168461	4.42	0.44051727125853	0.351790047688968	0.359
BodyMass_kg	Allenopithecus_nigroviridis	Pygathrix_nigripes	10.725527	4.58	0.456463597819925	0.371724222996292	0.386
BodyMass_kg	Allenopithecus_nigroviridis	Rhinopithecus_bieti	10.288057	7.18	0.71559140444259	0.582777320481468	0.597
BodyMass_kg	Allenopithecus_nigroviridis	Rhinopithecus_roxellana	10.288057	9.45	0.941829912532378	0.698663739529133	0.705
BodyMass_kg	Allenopithecus_nigroviridis	Saguinus_bicolor	27.704183	4.87	0.485366314712453	0.256480733089391	0.26
BodyMass_kg	Allenopithecus_nigroviridis	Saguinus_geoffroyi	28.593817	4.81	0.47938644225193	0.241656712315573	0.252
BodyMass_kg	Allenopithecus_nigroviridis	Saguinus_imperator	27.157205	4.83	0.481379733072104	0.257346427154082	0.256
