species	family	primate_group_code	primate_group
Lagothrix_flavicauda	Atelidae	PLA	New World monkeys (Platyrrhini)
Lagothrix_lagotricha	Atelidae	PLA	New World monkeys (Platyrrhini)
Lagothrix_poeppigii	Atelidae	PLA	New World monkeys (Platyrrhini)
Lagotrix_lugens	Atelidae	PLA	New World monkeys (Platyrrhini)
Lemur_catta	Lemuridae	STR	Strepsirrhines
Leontocebus_cruzlimai	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Leontocebus_fuscicolis	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Leontocebus_fuscus	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Leontocebus_illigeri	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Leontocebus_lagonotus	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Leontocebus_leucogenys	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Leontocebus_nigricollis	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Leontocebus_nigrifrons	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Leontocebus_tripartitus	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Leontocebus_weddelli	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Leontopithecus_caissara	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Leontopithecus_chrysomelas	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Leontopithecus_chrysopygus	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Leontopithecus_rosalia	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Lepilemur_aeeclis	Lepilemuridae	STR	Strepsirrhines
Lepilemur_ahmansonorum	Lepilemuridae	STR	Strepsirrhines
Lepilemur_ankaranensis	Lepilemuridae	STR	Strepsirrhines
Lepilemur_betsileo	Lepilemuridae	STR	Strepsirrhines
Lepilemur_dorsalis	Lepilemuridae	STR	Strepsirrhines
Lepilemur_edwardsi	Lepilemuridae	STR	Strepsirrhines
Lepilemur_fleuretae	Lepilemuridae	STR	Strepsirrhines
Lepilemur_grewcockorum	Lepilemuridae	STR	Strepsirrhines
Lepilemur_hollandorum	Lepilemuridae	STR	Strepsirrhines
Lepilemur_hubbardi	Lepilemuridae	STR	Strepsirrhines
